sim/none/none                                      Do nothing at all!
sim/engines/prop_down_5                            Prop down a bit for engine #5.
sim/engines/prop_down_6                            Prop down a bit for engine #6.
sim/engines/prop_down_7                            Prop down a bit for engine #7.
sim/engines/prop_down_8                            Prop down a bit for engine #8.
sim/engines/prop_up_1                              Prop up a bit for engine #1.
sim/engines/prop_up_2                              Prop up a bit for engine #2.
sim/engines/prop_up_3                              Prop up a bit for engine #3.
sim/engines/prop_up_4                              Prop up a bit for engine #4.
sim/engines/prop_up_5                              Prop up a bit for engine #5.
sim/engines/prop_up_6                              Prop up a bit for engine #6.
sim/engines/prop_up_7                              Prop up a bit for engine #7.
sim/engines/prop_up_8                              Prop up a bit for engine #8.
sim/engines/mixture_down_1                         Mixure down a bit for engine #1.
sim/engines/mixture_down_2                         Mixure down a bit for engine #2.
sim/engines/mixture_down_3                         Mixure down a bit for engine #3.
sim/engines/mixture_down_4                         Mixure down a bit for engine #4.
sim/engines/mixture_down_5                         Mixure down a bit for engine #5.
sim/engines/mixture_down_6                         Mixure down a bit for engine #6.
sim/engines/mixture_down_7                         Mixure down a bit for engine #7.
sim/engines/mixture_down_8                         Mixure down a bit for engine #8.
sim/engines/mixture_up_1                           Mixure up a bit for engine #1.
sim/engines/mixture_up_2                           Mixure up a bit for engine #2.
sim/engines/mixture_up_3                           Mixure up a bit for engine #3.
sim/engines/mixture_up_4                           Mixure up a bit for engine #4.
sim/engines/mixture_up_5                           Mixure up a bit for engine #5.
sim/engines/mixture_up_6                           Mixure up a bit for engine #6.
sim/engines/mixture_up_7                           Mixure up a bit for engine #7.
sim/engines/mixture_up_8                           Mixure up a bit for engine #8.
sim/flight_controls/pitch_trim_up                  Pitch trim up.
sim/flight_controls/pitch_trim_takeoff             Pitch trim takeoff.
sim/flight_controls/pitch_trim_down                Pitch trim down.
sim/flight_controls/rudder_trim_left               Rudder trim left.
sim/flight_controls/rudder_trim_center             Rudder trim center.
sim/flight_controls/rudder_trim_right              Rudder trim rigt.
sim/flight_controls/aileron_trim_left              Aileron trim left.
sim/flight_controls/aileron_trim_center            Aileron trim center.
sim/flight_controls/aileron_trim_right             Aileron trim rigt.
sim/flight_controls/gyro_rotor_trim_up             Gyro rotor trim up.
sim/flight_controls/gyro_rotor_trim_down           Gyro rotor trim down.
sim/flight_controls/rudder_lft                     Rudder left.
sim/flight_controls/rudder_ctr                     Rudder center.
sim/flight_controls/rudder_rgt                     Rudder right.
sim/view/forward                                   View: forward.
sim/view/pan_up                                    View: tilt up.
sim/view/pan_down                                  View: tilt down.
sim/view/pan_up_fast                               View: tilt up fast.
sim/view/pan_down_fast                             View: tilt down fast.
sim/view/pan_left                                  View: pan left.
sim/view/pan_right                                 View: pan right.
sim/view/pan_left_fast                             View: pan left fast.
sim/view/pan_right_fast                            View: pan right fast.
sim/view/glance_left                               View: glance left.
sim/view/glance_right                              View: glance right.
sim/view/straight_up                               View: straight up.
sim/view/straight_down                             View: straight down.
sim/view/back                                      View: backward.
sim/view/left_up                                   View: left up.
sim/view/right_up                                  View: right up.
sim/view/forward_no_hud                            View: fwd no HUD.
sim/view/forward_with_hud                          View: fwd with HUD.
sim/view/tower                                     View: tower.
sim/view/runway                                    View: runway.
sim/view/chase                                     View: chase.
sim/view/circle                                    View: circle.
sim/view/circle_with_panel                         View: circle with panel.
sim/view/spot                                      View: spot view.
sim/view/linear_spot                               View: linear spot.
sim/view/center                                    View: center.
sim/view/track_weapon                              View: track weapon.
sim/view/cinema_verite                             View: cinema verite.
sim/view/sunglasses                                View: sunglasses.
sim/view/night_vision_toggle                       View: night vision.
sim/view/transparent_panel                         View: trans-panel.
sim/view/3d_cockpit                                View: 3-D cockpit.
sim/view/3d_cockpit_toggle                         View: toggle 3-D cockpit.
sim/view/3d_cockpit_mouse_look                     View: 3-D mouse look
sim/view/free_view_toggle                          View: free view.
sim/view/show_physics_model                        View: show physics model.
sim/view/3d_path_toggle                            View: 3-d path.
sim/view/mouse_click_regions_toggle                View: mouse-click regions.
sim/view/instrument_descriptions_toggle            View: instrument descriptions.
sim/view/hold_3d_angle                             3-D cockpit: Hold current angle.
sim/flight_controls/flaps_down                     Flaps down a notch.
sim/flight_controls/flaps_up                       Flaps up a notch.
sim/flight_controls/cowl_flaps_closed              Cowl flaps closed.
sim/flight_controls/cowl_flaps_open                Cowl flaps open.
sim/flight_controls/landing_gear_down              Landing gear down.
sim/flight_controls/landing_gear_up                Landing gear up.
sim/flight_controls/landing_gear_toggle            Landing gear toggle.
sim/flight_controls/pump_flaps_and_gear            Pump flaps/gear up/down.
sim/flight_controls/nwheel_steer_toggle            Nosewheel steer toggle.
sim/flight_controls/speed_brakes_down_one          Speedbrakes extend one.
sim/flight_controls/speed_brakes_up_one            Speedbrakes retract one.
sim/flight_controls/speed_brakes_down_all          Speedbrakes extend full.
sim/flight_controls/speed_brakes_up_all            Speedbrakes retract full.
sim/flight_controls/speed_brakes_toggle            Speedbrakes toggle.
sim/flight_controls/brakes_toggle_regular          Toggle brakes regular effort.
sim/flight_controls/brakes_toggle_max              Toggle brakes maximum effort.
sim/flight_controls/brakes_regular                 Hold brakes regular.
sim/flight_controls/brakes_max                     Hold brakes maximum.
sim/flight_controls/left_brake                     Hold brake left.
sim/flight_controls/right_brake                    Hold brake right.
sim/flight_controls/vector_sweep_aft               Vector or sweep aft.
sim/flight_controls/vector_sweep_forward           Vector or sweep forward.
sim/flight_controls/blimp_lift_down                Blimp lift down a bit.
sim/flight_controls/blimp_lift_up                  Blimp lift up a bit.
sim/fuel/indicate_aux                              Fuel tanks show auxiliary tanks.
